customer_key,customer_number,customer_name,gender,age,marital_status,country,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,avg_order_value,avg_monthly_spend
33,AW00011032,Denise Stone,Female,73,Married,Australia,50 and above,VIP,2013-11-08,145,3,6525,10,10,33,2175,197
34,AW00011033,Jaime Nath,Male,67,Married,Australia,50 and above,VIP,2013-11-05,145,3,6495,7,7,33,2165,196
35,AW00011034,Ebony Gonzalez,Female,73,Married,Australia,50 and above,VIP,2013-11-10,145,3,6491,4,4,33,2163,196
36,AW00011035,Wendy Dominguez,Female,72,Married,Australia,50 and above,VIP,2013-11-15,145,3,6451,5,5,33,2150,195
37,AW00011036,Jennifer Russell,Female,41,Married,United States,40-49,New,2013-01-22,155,1,2355,2,2,0,2355,2355
38,AW00011037,Chloe Garcia,Female,42,Single,Canada,40-49,New,2013-01-20,155,1,2374,7,7,0,2374,2374
39,AW00011038,Diana Hernandez,Female,72,Married,Australia,50 and above,VIP,2013-11-12,145,3,6437,3,3,33,2145,195
40,AW00011039,Marc Martin,Male,71,Married,Australia,50 and above,VIP,2013-11-11,145,3,6636,9,8,33,2212,201
41,AW00011040,Jesse Murphy,Male,42,Married,United States,40-49,New,2013-04-03,152,1,2351,3,3,0,2351,2351
42,AW00011041,Amanda Carter,Female,42,Married,United States,40-49,New,2013-01-14,155,1,2381,3,3,0,2381,2381
43,AW00011042,Megan Sanchez,Female,43,Married,United States,40-49,New,2013-10-17,146,2,3112,3,3,9,1556,345
44,AW00011043,Nathan Simmons,Male,44,Married,United States,40-49,New,2013-08-18,148,2,48,3,3,3,24,16
45,AW00011044,Adam Flores,Male,71,Married,Australia,50 and above,VIP,2013-11-08,145,3,6515,7,7,33,2171,197
46,AW00011045,Leonard Nara,Male,70,Single,Australia,50 and above,New,2013-10-29,146,2,115,4,4,6,57,19
47,AW00011046,Christine Yuan,Female,70,Married,Australia,50 and above,VIP,2013-11-12,145,3,6616,6,6,33,2205,200
48,AW00011047,Jaclyn Lu,Female,70,Married,Australia,50 and above,VIP,2013-11-19,145,3,6582,4,4,33,2194,199
49,AW00011048,Jeremy Powell,Male,69,Married,Australia,50 and above,VIP,2013-12-25,144,3,6498,8,8,34,2166,191
50,AW00011049,Carol Rai,Female,39,Single,United States,30-39,New,2013-10-29,146,2,81,5,5,7,40,11
51,AW00011050,Alan Zheng,Male,68,Married,Australia,50 and above,VIP,2013-11-19,145,3,5007,6,6,33,1669,151
52,AW00011051,Daniel Johnson,Male,68,Single,Australia,50 and above,New,2014-01-01,143,2,124,5,5,1,62,124
53,AW00011052,Heidi Lopez,Female,68,Single,Australia,50 and above,VIP,2013-05-27,151,3,8131,7,7,27,2710,301
54,AW00011053,Ana Price,Female,39,Married,United States,30-39,New,2013-01-17,155,1,2330,2,2,0,2330,2330
55,AW00011054,Deanna Munoz,Female,68,Married,Australia,50 and above,VIP,2013-05-30,151,3,8223,6,6,27,2741,304
56,AW00011055,Gilbert Raje,Male,68,Married,Australia,50 and above,VIP,2013-06-07,150,3,8168,8,8,29,2722,281
57,AW00011056,Michele Nath,Female,67,Married,Australia,50 and above,VIP,2013-05-31,151,3,8207,8,8,27,2735,303
58,AW00011057,Carl Andersen,Male,55,Married,Australia,50 and above,VIP,2013-05-21,151,3,8088,4,4,27,2696,299
59,AW00011058,Marc Diaz,Male,60,Married,Australia,50 and above,VIP,2013-06-04,150,3,8248,6,6,27,2749,305
60,AW00011059,Ashlee Andersen,Female,66,Single,Australia,50 and above,New,2013-03-16,153,3,117,7,6,1,39,117
61,AW00011060,Jon Zhou,Male,66,Married,Australia,50 and above,VIP,2013-06-25,150,3,8153,6,6,27,2717,301
62,AW00011061,Todd Gao,Male,49,Married,Australia,40-49,VIP,2013-06-14,150,3,8129,6,6,27,2709,301
63,AW00011062,Noah Powell,Male,44,Married,United States,40-49,New,2013-01-07,155,1,2352,3,3,0,2352,2352
64,AW00011063,Angela Murphy,Female,45,Single,United States,40-49,New,2013-01-12,155,1,2373,5,5,0,2373,2373
65,AW00011064,Chase Reed,Male,44,Married,United States,40-49,New,2013-01-25,155,1,2305,2,2,0,2305,2305
66,AW00011065,Jessica Henderson,Female,46,Married,United States,40-49,New,2014-01-10,143,2,202,5,4,11,101,18
67,AW00011066,Grace Butler,Female,46,Married,United States,40-49,New,2013-09-19,147,2,81,5,5,4,40,20
68,AW00011067,Caleb Carter,Male,43,Single,United States,40-49,New,2014-01-12,143,2,105,6,6,5,52,21
69,AW00011068,Tiffany Liang,Female,59,Single,Australia,50 and above,New,2013-10-08,146,3,113,9,8,6,37,18
70,AW00011069,Carolyn Navarro,Female,59,Single,Australia,50 and above,VIP,2013-06-04,150,3,8104,3,3,26,2701,311
71,AW00011070,Willie Raji,Male,65,Married,Australia,50 and above,VIP,2013-06-26,150,3,8165,10,9,26,2721,314
72,AW00011071,Linda Serrano,Female,65,Single,Australia,50 and above,New,2013-12-01,144,3,110,7,6,9,36,12
73,AW00011072,Casey Luo,Female,65,Single,Australia,50 and above,VIP,2013-06-15,150,3,8194,7,7,27,2731,303
74,AW00011073,Amy Ye,Female,63,Single,Australia,50 and above,New,2013-08-21,148,3,192,10,9,5,64,38
75,AW00011074,Levi Arun,Male,63,Single,Australia,50 and above,New,2013-05-27,151,3,94,7,7,2,31,47
76,AW00011075,Felicia Jimenez,Female,62,Single,Australia,50 and above,VIP,2013-06-24,150,3,8068,5,5,26,2689,310
77,AW00011076,Blake Anderson,Male,62,Single,Australia,50 and above,VIP,2013-06-21,150,3,8159,4,4,26,2719,313
78,AW00011077,Leah Ye,Female,62,Single,Australia,50 and above,VIP,2013-06-12,150,3,8169,5,5,26,2723,314
79,AW00011078,Gina Martin,Female,40,Single,Canada,40-49,New,2014-01-28,143,17,912,31,23,11,53,82
80,AW00011079,Donald Gonzalez,Male,55,Single,Australia,50 and above,New,2014-01-01,143,3,58,5,5,10,19,5
81,AW00011080,Damien Chander,Male,60,Married,Australia,50 and above,VIP,2013-06-23,150,3,8204,7,7,26,2734,315
82,AW00011081,Savannah Baker,Female,53,Married,United States,50 and above,New,2013-04-13,152,2,104,5,5,2,52,52
83,AW00011082,Angela Butler,Female,53,Single,United States,50 and above,New,2013-11-06,145,2,3110,6,6,10,1555,311
84,AW00011083,Alyssa Cox,Female,48,Married,United States,40-49,New,2013-11-08,145,2,3137,5,5,10,1568,313
85,AW00011084,Lucas Phillips,Male,62,Single,United States,50 and above,New,2013-11-21,145,2,3078,5,5,10,1539,307
86,AW00011085,Emily Johnson,Female,62,Single,United States,50 and above,New,2014-01-08,143,2,129,5,5,1,64,129
87,AW00011086,Ryan Brown,Male,62,Married,United States,50 and above,New,2013-12-21,144,2,153,6,6,5,76,30
88,AW00011087,Tamara Liang,Female,62,Married,United States,50 and above,New,2013-08-09,148,2,200,4,4,6,100,33
89,AW00011088,Hunter Davis,Male,62,Married,United States,50 and above,New,2013-11-12,145,2,3176,7,7,10,1588,317
90,AW00011089,Abigail Price,Female,63,Single,United States,50 and above,New,2013-11-18,145,2,3188,7,7,11,1594,289
91,AW00011090,Trevor Bryant,Male,57,Single,United States,50 and above,VIP,2013-11-21,145,3,6703,6,6,27,2234,248
92,AW00011091,Dalton Perez,Male,63,Married,Canada,50 and above,Regular,2014-01-08,143,28,1186,59,25,12,42,98
93,AW00011092,Cheryl Diaz,Female,53,Married,Australia,50 and above,VIP,2013-06-21,150,3,8110,5,5,26,2703,311
94,AW00011093,Aimee He,Female,47,Married,Australia,40-49,VIP,2013-06-08,150,3,8180,7,7,26,2726,314
95,AW00011094,Cedric Ma,Male,58,Single,Australia,50 and above,New,2014-01-11,143,3,236,8,8,9,78,26
96,AW00011095,Chad Kumar,Male,57,Single,Australia,50 and above,VIP,2013-06-25,150,3,8158,7,7,26,2719,313
97,AW00011096,Andr├⌐s Anand,Male,57,Married,Australia,50 and above,VIP,2013-07-30,149,3,8063,4,4,27,2687,298
98,AW00011097,Edwin Nara,Male,53,Married,Australia,50 and above,VIP,2013-07-24,149,3,8099,5,5,27,2699,299
99,AW00011098,Mallory Rubio,Female,59,Single,Australia,50 and above,New,2013-10-16,146,3,89,4,4,8,29,11
100,AW00011099,Adam Ross,Male,59,Married,Australia,50 and above,VIP,2013-07-01,149,3,8216,9,8,27,2738,304
101,AW00011100,Latasha Navarro,Female,59,Single,Australia,50 and above,VIP,2013-08-07,148,3,8172,7,7,28,2724,291
102,AW00011101,Abby Sai,Female,55,Single,Australia,50 and above,VIP,2013-06-29,150,3,8262,7,7,26,2754,317
103,AW00011102,Julia Nelson,Female,55,Single,Australia,50 and above,New,2013-12-09,144,3,103,5,5,5,34,20
104,AW00011103,Cassie Chande,Female,44,Single,Australia,40-49,VIP,2013-06-06,150,3,8182,8,8,26,2727,314
105,AW00011104,Edgar Sara,Male,50,Married,Australia,50 and above,VIP,2013-06-15,150,3,8173,6,6,25,2724,326
106,AW00011105,Candace Fernandez,Female,55,Single,Australia,50 and above,VIP,2013-06-05,150,3,8096,5,5,25,2698,323
107,AW00011106,Jessie Liu,Male,55,Single,Australia,50 and above,VIP,2013-06-15,150,3,8079,3,3,25,2693,323
108,AW00011107,Bianca Lin,Female,49,Married,Australia,40-49,VIP,2013-06-21,150,3,8171,6,6,25,2723,326
109,AW00011108,Kari Alvarez,Female,56,Single,Australia,50 and above,VIP,2013-06-23,150,3,8124,5,5,25,2708,324
110,AW00011109,Ruben Kapoor,Male,45,Single,Australia,40-49,VIP,2013-06-24,150,3,8245,8,8,25,2748,329
111,AW00011110,Curtis Yang,Male,58,Married,Australia,50 and above,VIP,2013-08-20,148,3,8093,5,5,27,2697,299
112,AW00011111,Meredith Gutierrez,Female,58,Married,Australia,50 and above,VIP,2013-08-22,148,3,8137,8,8,27,2712,301
113,AW00011112,Crystal Wang,Female,57,Married,Australia,50 and above,VIP,2013-09-02,147,3,8295,6,6,28,2765,296
114,AW00011113,Micheal Blanco,Male,52,Married,Australia,50 and above,New,2013-04-21,152,3,110,7,7,2,36,55
115,AW00011114,Leslie Moreno,Female,58,Single,Australia,50 and above,New,2013-12-26,144,3,123,7,6,9,41,13
116,AW00011115,Alvin Cai,Male,58,Married,Australia,50 and above,New,2014-01-02,143,3,114,6,6,11,38,10
117,AW00011116,Clinton Carlson,Male,46,Married,Australia,40-49,New,2013-10-16,146,3,149,7,7,7,49,21
118,AW00011117,April Deng,Female,59,Married,Australia,50 and above,VIP,2013-06-25,150,3,8185,8,8,25,2728,327
119,AW00011118,Alvin Zeng,Male,63,Single,Australia,50 and above,New,2014-01-26,143,3,124,8,6,6,41,20
120,AW00011119,Evan James,Male,85,Single,Australia,50 and above,New,2013-11-23,145,2,85,4,4,9,42,9
121,AW00011120,Beth Jim├⌐nez,Female,83,Single,Australia,50 and above,VIP,2013-09-19,147,3,8242,10,10,28,2747,294
122,AW00011121,Orlando Suarez,Male,59,Married,Australia,50 and above,New,2013-11-04,145,3,58,6,5,5,19,11
123,AW00011122,Byron Vazquez,Male,60,Married,Australia,50 and above,New,2013-08-22,148,3,43,3,3,6,14,7
124,AW00011123,Philip Alvarez,Male,60,Married,Australia,50 and above,New,2014-01-25,143,3,150,8,7,9,50,16
125,AW00011124,Ross Jordan,Male,57,Single,Australia,50 and above,VIP,2013-06-18,150,3,8129,6,6,25,2709,325
126,AW00011125,Dana Navarro,Female,64,Single,Australia,50 and above,New,2013-07-03,149,3,79,7,7,6,26,13
127,AW00011126,Shaun Carson,Male,71,Married,Australia,50 and above,Regular,2013-11-03,145,3,4971,8,7,30,1657,165
128,AW00011127,Jan Edwards,Female,44,Married,United States,40-49,New,2013-10-01,146,2,44,3,3,6,22,7
129,AW00011128,Samantha Long,Female,44,Married,United States,40-49,New,2013-08-12,148,2,144,7,7,2,72,72
130,AW00011129,Julia Wright,Female,44,Single,United States,40-49,VIP,2013-01-09,155,2,5873,2,2,17,2936,345
131,AW00011130,Caroline Russell,Female,40,Married,United States,40-49,New,2013-12-09,144,1,37,2,2,0,37,37
132,AW00011131,Amanda Rivera,Female,40,Married,Canada,40-49,New,2014-01-23,143,5,166,9,9,3,33,55
133,AW00011132,Melissa Richardson,Female,39,Single,Canada,30-39,New,2013-04-09,152,1,2372,6,6,0,2372,2372
134,AW00011133,Angela Griffin,Female,39,Single,United States,30-39,New,2013-12-30,144,1,72,4,4,0,72,72
135,AW00011134,Larry Townsend,Male,68,Single,Australia,50 and above,Regular,2013-11-03,145,3,4911,3,3,30,1637,163
136,AW00011135,Marcus Harris,Male,40,Single,United States,40-49,New,2013-04-18,152,1,2335,3,3,0,2335,2335
137,AW00011136,Brianna Morgan,Female,41,Single,Canada,40-49,New,2013-01-03,155,1,2381,3,3,0,2381,2381
138,AW00011137,Jasmine Taylor,Female,41,Married,United States,40-49,New,2014-01-20,143,2,202,5,4,6,101,33
139,AW00011138,Lauren Davis,Female,41,Married,United States,40-49,New,2013-12-31,144,2,79,4,4,3,39,26
140,AW00011139,Tanya Moreno,Female,76,Single,Australia,50 and above,New,2013-10-17,146,2,84,3,3,1,42,84
141,AW00011140,Javier Alvarez,Male,43,Single,United States,40-49,New,2013-03-19,153,1,40,2,2,0,40,40
142,AW00011141,Nicole Ramirez,Female,43,Married,United States,40-49,New,2013-09-28,147,2,114,5,5,4,57,28
143,AW00011142,Eduardo Patterson,Male,42,Single,Canada,40-49,New,2014-01-13,143,17,979,36,23,11,57,89
144,AW00011143,Jonathan Henderson,Male,43,Married,United States,40-49,New,2013-12-19,144,2,48,5,4,6,24,8
145,AW00011144,Edward Hernandez,Male,40,Single,United States,40-49,New,2013-01-25,155,1,2400,3,3,0,2400,2400
146,AW00011145,Jasmine Coleman,Female,40,Single,United States,40-49,New,2013-01-25,155,1,2310,3,3,0,2310,2310
147,AW00011146,Karla Goel,Female,80,Single,Australia,50 and above,New,2013-09-15,147,3,113,7,6,7,37,16
148,AW00011147,Ernest Wu,Male,81,Married,Australia,50 and above,VIP,2013-10-16,146,3,8195,7,7,29,2731,282
149,AW00011148,Ross Vazquez,Male,78,Married,Australia,50 and above,New,2013-12-03,144,3,126,6,5,9,42,14
150,AW00011149,Theodore Gill,Male,79,Married,Australia,50 and above,New,2013-11-29,145,3,41,4,4,5,13,8
151,AW00011150,Russell Shen,Male,79,Single,Australia,50 and above,New,2013-07-15,149,3,192,8,7,4,64,48
152,AW00011151,Melinda Gill,Female,78,Single,Australia,50 and above,VIP,2013-10-20,146,3,8087,6,6,29,2695,278
153,AW00011152,James Williams,Male,44,Single,United States,40-49,New,2013-01-09,155,1,2295,1,1,0,2295,2295
154,AW00011153,Angela James,Female,44,Married,United States,40-49,New,2013-03-29,153,2,110,5,5,0,55,110
155,AW00011154,Megan Walker,Female,43,Single,United States,40-49,New,2013-01-10,155,1,2320,1,1,0,2320,2320
156,AW00011155,Hunter Robinson,Male,44,Single,United States,40-49,New,2013-01-06,155,1,2320,1,1,0,2320,2320
157,AW00011156,Maria Roberts,Female,44,Single,United States,40-49,New,2013-01-08,155,1,2390,4,4,0,2390,2390
158,AW00011157,Hannah Long,Female,45,Married,United States,40-49,New,2013-09-11,147,2,41,3,3,2,20,20
159,AW00011158,Jason Wright,Male,44,Single,United States,40-49,New,2013-01-19,155,1,2396,3,3,0,2396,2396
160,AW00011159,Brianna Hughes,Female,44,Single,United States,40-49,New,2013-11-07,145,2,48,5,4,2,24,24
161,AW00011160,Maurice Tang,Male,46,Single,United States,40-49,New,2013-02-21,154,1,2322,2,2,0,2322,2322
162,AW00011161,Emily Wood,Female,46,Single,United States,40-49,New,2013-11-11,145,2,94,6,6,5,47,18
163,AW00011162,Chase Cox,Male,46,Single,United States,40-49,New,2013-02-18,154,1,2330,2,2,0,2330,2330
164,AW00011163,Gabriel Wang,Male,45,Married,United States,40-49,New,2013-08-05,148,2,46,4,4,3,23,15
165,AW00011164,Devin Brooks,Male,46,Single,United States,40-49,New,2013-08-05,148,2,145,6,6,4,72,36
166,AW00011165,Jocelyn Alexander,Female,46,Married,United States,40-49,New,2013-06-05,150,2,103,3,3,1,51,103
167,AW00011166,Ashley Martinez,Female,48,Single,United States,40-49,New,2013-12-06,144,2,88,5,5,2,44,44
168,AW00011167,Jasmine Barnes,Female,47,Single,United States,40-49,New,2013-11-28,145,2,3126,4,4,10,1563,312
169,AW00011168,David Rodriguez,Male,52,Single,United States,50 and above,New,2013-11-16,145,2,3136,7,7,10,1568,313
170,AW00011169,Bryce Richardson,Male,52,Married,United States,50 and above,New,2013-09-24,147,2,81,5,5,4,40,20
171,AW00011170,Carol Howard,Female,52,Married,United States,50 and above,New,2013-12-29,144,2,157,7,7,4,78,39
172,AW00011171,Jonathan Hill,Male,47,Single,United States,40-49,VIP,2013-11-07,145,3,6716,8,8,27,2238,248
173,AW00011172,Gabrielle Adams,Female,52,Married,United States,50 and above,New,2014-01-11,143,2,129,7,6,8,64,16
174,AW00011173,Sarah Thomas,Female,52,Single,United States,50 and above,New,2013-12-24,144,2,103,3,3,9,51,11
175,AW00011174,Nicholas Robinson,Male,52,Married,United States,50 and above,New,2013-07-25,149,2,48,5,4,0,24,48
176,AW00011175,Luis Wang,Male,57,Single,United States,50 and above,VIP,2013-11-03,145,3,6710,8,8,27,2236,248
177,AW00011176,Mason Roberts,Male,46,Married,Canada,40-49,New,2014-01-27,143,28,1317,60,27,11,47,119
178,AW00011177,Jose Flores,Male,77,Married,United States,50 and above,New,2013-10-14,146,2,135,6,6,7,67,19
179,AW00011178,Nathan Johnson,Male,71,Married,United States,50 and above,New,2013-05-26,151,2,145,6,6,3,72,48
180,AW00011179,Molly Rodriguez,Female,66,Married,United States,50 and above,New,2014-01-09,143,2,125,6,6,10,62,12
181,AW00011180,April Anand,Female,77,Married,United States,50 and above,New,2013-09-25,147,2,138,6,6,6,69,23
182,AW00011181,Devin Martin,Male,65,Married,United States,50 and above,New,2013-07-11,149,2,41,3,3,2,20,20
183,AW00011182,Stephanie Torres,Female,75,Single,United States,50 and above,New,2014-01-05,143,2,81,5,5,5,40,16
184,AW00011183,Jasmine Lee,Female,75,Single,United States,50 and above,New,2013-06-13,150,2,46,4,4,2,23,23
185,AW00011184,Meghan Hernandez,Female,70,Single,United States,50 and above,New,2013-10-09,146,2,68,5,5,2,34,34
186,AW00011185,Ashley Henderson,Female,75,Single,Canada,50 and above,New,2014-01-26,143,27,1616,68,29,11,59,146
187,AW00011186,Sarah Price,Female,76,Single,United States,50 and above,New,2014-01-07,143,2,41,3,3,3,20,13
188,AW00011187,Jennifer Cooper,Female,76,Married,United States,50 and above,New,2013-08-06,148,2,108,4,4,4,54,27
189,AW00011188,Catherine Morris,Female,75,Married,United States,50 and above,New,2014-01-21,143,2,81,5,5,2,40,40
190,AW00011189,Lawrence Blanco,Male,75,Single,United States,50 and above,VIP,2013-02-05,154,2,5944,6,6,18,2972,330
191,AW00011190,Carson Bryant,Male,76,Married,United States,50 and above,New,2014-01-16,143,2,46,4,4,5,23,9
192,AW00011191,Kristi Perez,Female,74,Single,United States,50 and above,VIP,2013-11-06,145,3,6743,7,7,27,2247,249
193,AW00011192,James Brown,Male,74,Married,United States,50 and above,New,2013-09-25,147,2,114,5,5,3,57,38
194,AW00011193,Ian Gray,Male,75,Married,United States,50 and above,New,2013-08-18,148,2,41,3,3,6,20,6
195,AW00011194,Jacqueline Price,Female,75,Married,United States,50 and above,New,2013-12-08,144,2,105,6,6,9,52,11
196,AW00011195,Megan Henderson,Female,74,Married,United States,50 and above,New,2013-10-22,146,2,105,6,6,6,52,17
197,AW00011196,Alfredo Romero,Male,74,Married,United States,50 and above,New,2013-09-24,147,2,162,4,4,6,81,27
198,AW00011197,Andrea Morris,Female,74,Married,United States,50 and above,New,2013-07-20,149,2,207,6,5,2,103,103
199,AW00011198,Brooke Sanders,Female,73,Single,United States,50 and above,New,2013-02-13,154,2,98,4,4,0,49,98
200,AW00011199,Jacqueline Bennett,Female,68,Married,United States,50 and above,New,2013-10-17,146,2,132,6,6,7,66,18
201,AW00011200,Jason Griffin,Male,72,Married,Canada,50 and above,New,2014-01-20,143,27,1461,55,26,11,54,132
202,AW00011201,Amanda Foster,Female,72,Married,United States,50 and above,New,2013-09-09,147,2,181,6,6,2,90,90
203,AW00011202,Alexia Price,Female,67,Married,United States,50 and above,New,2013-09-21,147,2,74,3,3,0,37,74
204,AW00011203,Luis Diaz,Male,66,Married,Canada,50 and above,New,2013-12-11,144,17,800,32,19,10,47,80
205,AW00011204,Destiny Rivera,Female,72,Married,United States,50 and above,New,2013-11-10,145,2,77,4,4,3,38,25
206,AW00011205,Abby Fernandez,Female,71,Married,United States,50 and above,New,2013-10-08,146,2,37,2,2,3,18,12
207,AW00011206,Blake Flores,Male,71,Married,United States,50 and above,New,2013-05-30,151,2,77,4,4,0,38,77
208,AW00011207,Danielle Cox,Female,71,Single,United States,50 and above,New,2013-10-18,146,2,77,4,4,9,38,8
209,AW00011208,Maria Reed,Female,72,Married,United States,50 and above,New,2013-09-17,147,2,134,7,7,6,67,22
210,AW00011209,Allison Evans,Female,72,Married,United States,50 and above,New,2014-01-22,143,2,37,2,2,10,18,3
211,AW00011210,Edward Wood,Male,72,Married,United States,50 and above,New,2013-09-06,147,2,70,5,5,4,35,17
212,AW00011211,Samantha Russell,Female,65,Married,Canada,50 and above,New,2014-01-07,143,17,792,33,22,11,46,72
213,AW00011212,Chloe Campbell,Female,70,Married,Canada,50 and above,Regular,2014-01-17,143,17,824,33,20,12,48,68
214,AW00011213,Stephanie Murphy,Female,71,Single,United States,50 and above,New,2013-09-09,147,2,77,4,4,6,38,12
215,AW00011214,Charles Miller,Male,70,Single,United States,50 and above,New,2013-11-19,145,2,162,4,4,3,81,54
216,AW00011215,Ana Perry,Female,64,Married,Canada,50 and above,New,2013-12-15,144,17,1154,32,21,10,67,115
217,AW00011216,Jasmine Torres,Female,70,Single,United States,50 and above,VIP,2013-02-05,154,2,5948,5,5,18,2974,330
218,AW00011217,Natalie Adams,Female,70,Single,United States,50 and above,VIP,2013-02-14,154,2,5953,3,3,18,2976,330
219,AW00011218,Olivia Brown,Female,64,Single,United States,50 and above,New,2014-01-04,143,2,39,3,2,11,19,3
220,AW00011219,Charles Cook,Male,69,Married,United States,50 and above,New,2014-01-24,143,2,39,3,2,3,19,13
221,AW00011220,Erica Huang,Female,64,Married,United States,50 and above,New,2013-12-13,144,2,50,4,4,9,25,5
222,AW00011221,Nathan Perry,Male,70,Married,United States,50 and above,New,2013-10-17,146,2,46,4,4,6,23,7
223,AW00011222,Alexandra Rivera,Female,69,Married,United States,50 and above,New,2013-11-28,145,2,208,6,6,0,104,208
224,AW00011223,Hailey Patterson,Female,68,Single,Canada,50 and above,Regular,2014-01-06,143,27,1293,65,26,12,47,107
225,AW00011224,Tiffany Li,Female,68,Single,United States,50 and above,VIP,2013-12-03,144,3,6685,5,5,28,2228,238
226,AW00011225,Madison Lee,Female,63,Married,United States,50 and above,New,2013-09-06,147,2,73,5,5,3,36,24
227,AW00011226,Sydney Ross,Female,63,Married,United States,50 and above,New,2013-03-31,153,2,37,2,2,1,18,37
228,AW00011227,Marshall Chavez,Male,63,Single,United States,50 and above,VIP,2013-02-10,154,2,5910,5,5,18,2955,328
229,AW00011228,Ashley Jones,Female,69,Married,United States,50 and above,New,2014-01-17,143,2,77,4,4,3,38,25
230,AW00011229,Adrian Stewart,Male,68,Single,United States,50 and above,New,2014-01-25,143,2,81,5,5,6,40,13
231,AW00011230,Amber Turner,Female,69,Married,United States,50 and above,New,2013-12-09,144,2,54,5,5,5,27,10
232,AW00011231,Dennis Zhang,Male,62,Married,United States,50 and above,New,2013-11-12,145,2,64,4,4,9,32,7
